,type,clean
114,ENTJ,http://www.youtube.com/watch?v=gA8z3Yk3wWc&sns=em
116,INFP,http://www.youtube.com/watch?v=OkdeyKD5Kt4
117,INFP,http://www.youtube.com/watch?v=ZZU2ubRGb9g
118,INFP,http://www.youtube.com/watch?v=-X5lbZi6UUo&list=UUihz0afZtl5Zqr-QecSaNuw&index=4
119,ISFP,http://youtu.be/lmsbHGEB6UU
120,INFJ,https://youtu.be/UXFWrVTqIko
122,INFJ,https://www.youtube.com/watch?v=P5uFxg-Q298
123,INFJ,https://www.youtube.com/watch?v=-xsJFDidqO0
124,ENFJ,https://www.youtube.com/watch?v=AwgF14ySLpw
125,ENFJ,https://www.youtube.com/watch?v=eA9Vgys9Jfc
126,ENFJ,http://www.youtube.com/watch?v=rEMsjeq43_U
127,INFJ,http://www.youtube.com/watch?v=ipUdoUcNmKI
128,INFJ,http://www.youtube.com/watch?v=G9UmSqRZTrs
129,INFJ,http://www.youtube.com/watch?v=RJd9kv8cbEo
130,INFJ,http://www.youtube.com/watch?v=XRd4-kDlXw8
131,INFJ,http://www.youtube.com/watch?v=SfkvPnjb9hs
132,INFJ,http://www.youtube.com/watch?v=DMQbzLrvwlE&feature=related
133,INFJ,http://www.youtube.com/watch?v=M6JnQbQbzdo&feature=related
134,INFJ,http://www.youtube.com/watch?v=B0IwsK5MDsM
135,INFJ,http://www.youtube.com/watch?v=uj4IMVtvuzk&feature=player_embedded#!
136,INFJ,http://www.youtube.com/watch?v=WSeNSzJ2-Jw
137,INFJ,http://www.youtube.com/watch?v=rBUURDjRqJU
138,INFJ,http://www.youtube.com/watch?v=h_m-BjrxmgI&ob=av3n
139,INFJ,http://www.youtube.com/watch?v=qgi3PkouMxs&feature=related
140,INFJ,http://www.youtube.com/watch?v=aC-FqllS6Ls
141,INFJ,http://www.youtube.com/watch?v=8tvAh0RrDBU
142,INFJ,http://www.youtube.com/watch?v=Iw6QUdDwa54
143,INFJ,http://www.youtube.com/watch?v=44krWKXj2l8&feature=related
144,INFJ,http://www.youtube.com/watch?v=4tqvbgads1E
145,INFJ,http://www.youtube.com/watch?v=p62rfWxs6a8&ob=av2e
146,INFJ,http://www.youtube.com/watch?v=lUQY0ZmQyv8&feature=related
147,INFJ,http://www.youtube.com/watch?v=0Riu366zPyE
148,INFJ,http://www.youtube.com/watch?v=VwbtbfAnI80
149,INFJ,http://www.youtube.com/watch?v=LcPOqOxoPdk
150,INFJ,http://www.youtube.com/watch?v=l3w2MTXBebg
151,INFJ,http://www.youtube.com/watch?v=owyNxZsz1hE
154,INFJ,http://www.youtube.com/watch?v=owyNxZsz1hE
158,INTJ,https://www.youtube.com/watch?v=MDpyS2HN5SA
159,INFP,https://www.youtube.com/watch?v=L-AQHLFOk0Y
160,INFP,http://www.youtube.com/watch?v=6QFwo57WKwg
161,INFP,http://www.youtube.com/watch?v=_gR-e73EUbM
162,INFP,http://www.youtube.com/watch?v=5p8WG-N5Xps
163,ENFP,http://www.youtube.com/watch?v=4XmKMdgw68g
164,ENFP,http://www.youtube.com/watch?v=2OM9XunhU4M
165,ENFP,http://www.youtube.com/watch?v=aS5QpPRFdbg
167,ISTP,http://www.youtube.com/watch?v=NPoHPNeU9fc
169,ISTP,http://www.youtube.com/watch?v=ECy7C404P70
171,INFJ,https://www.youtube.com/watch?v=F1MqBw05Z3M
173,INFJ,https://www.youtube.com/watch?v=vupgBykQnko
174,INFP,https://www.youtube.com/watch?v=1hNGj30peTs
175,INFP,https://www.youtube.com/watch?v=T0mFVsvewrg
182,INTJ,http://www.youtube.com/watch?v=Y1LzcS7Db68&amp;feature=youtu.be
187,INTP,http://www.youtube.com/watch?v=r9LCwI5iErE
189,INTP,http://www.youtube.com/watch?v=13z4l8jvbpY
190,ENTJ,http://www.youtube.com/watch?v=M3iOROuTuMA
191,INTJ,https://www.youtube.com/watch?v=IEd25_Mzfjo
192,INTJ,https://www.youtube.com/watch?v=n718NsEFWOY
193,INTJ,https://www.youtube.com/watch?v=jvXdpEvrv9s
194,INTJ,https://www.youtube.com/watch?v=b96rrbo-_Ik
195,INTJ,https://www.youtube.com/watch?v=vIL4-5AIaSE
197,INTJ,http://www.youtube.com/watch?v=cBlRbrB_Gnc
198,INFP,http://www.youtube.com/watch?v=0XshG3NVx3o
199,INFP,http://www.youtube.com/watch?v=4OoTvxclld0
201,INFP,http://www.youtube.com/watch?v=49z0kntkqts
202,INFP,http://www.youtube.com/watch?v=Teki6asOqe0
203,INFP,http://www.youtube.com/watch?v=yS_DcqPkEYM
204,ISFJ,https://www.youtube.com/watch?v=eT70RUV_9rw&list=PLZovIqon2N4KLOh4sSI27PHBJb0p1_1t3
205,ISFJ,https://youtu.be/JWy8nONlh_Q
206,ISFJ,https://youtu.be/r1ll91YBdVE
207,INTP,https://www.youtube.com/watch?v=5vxYUr9e-GY&amp;list=PLF9EADA74A01C9E81&amp;index=15
209,INFP,http://www.youtube.com/watch?v=g65ioaUkjWc&amp;feature=related
210,INFP,http://www.youtube.com/watch?feature=player_embedded&amp;v=QgTHA9Fe2ME
211,INFP,http://www.youtube.com/watch?v=rVeMiVU77wo
212,ENFJ,http://www.youtube.com/watch?NR=1&feature=endscreen&v=tM3qBye5FIw
213,ENFJ,http://www.youtube.com/watch?v=cq_VeUMtyzU
217,INTP,http://www.youtube.com/watch?v=QsbWU8ElMbg
218,INTP,http://www.youtube.com/watch?v=OgHCCbIGuIc
220,INTP,http://www.youtube.com/watch?v=90rHFreKjvs
221,INTP,http://www.youtube.com/watch?v=G4Sn91t1V4g&amp;list=PLrEnWoR732-DN561GnxXKMlocLMc4v4jL&amp;index=3'
222,INFJ,http://www.youtube.com/watch?v=wpTRwTsOxW8&list=FLPc1j54Vs7shC13lcQX9jjA&index=4&feature=plpp_video
226,INFJ,http://www.youtube.com/watch?v=Q_BLggf-mqs&list=FLPc1j54Vs7shC13lcQX9jjA&index=5
227,INFJ,http://www.youtube.com/watch?v=IutcPpb73zA&feature=player_embedded
228,INFJ,http://www.youtube.com/watch?v=OX36Vy5qfPU&feature=relmfu
231,INFJ,http://www.youtube.com/watch?v=VH74F8xJ2S0&NR=1
239,INFJ,https://www.youtube.com/watch?v=Lr5w4dw8QC0
240,INFJ,https://www.youtube.com/watch?v=y0p3jn7ODuc
241,INFJ,https://www.youtube.com/watch?v=uIwQnLd7Wbw
242,INFJ,https://www.youtube.com/watch?v=5A0-u85aAYg
244,ENFJ,http://www.youtube.com/watch?v=H-IUE0idp7k
245,INFP,https://www.youtube.com/watch?v=55ru5EbFMKc
246,INFP,https://www.youtube.com/watch?v=b9WAQHn_gmo
247,INFP,http://www.youtube.com/watch?v=_Ss1fdxTr7M
251,INFP,http://youtu.be/GGh6xxr7UJI
252,INFP,http://youtu.be/34ZmKbe5oG4
253,INFP,http://youtu.be/IT0tzdWmA5Q
254,INFP,http://www.youtube.com/watch?v=yKOlBZJ7Izs
255,INFP,http://www.youtube.com/watch?v=Nj7m1UA0JD0
256,ENFP,http://www.youtube.com/watch?v=djChY6Ol9ig
269,INFJ,https://www.youtube.com/watch?v=EVuRWdu_Ifg
270,INFJ,https://www.youtube.com/watch?v=_XlH7gSvAkc
271,INFJ,http://www.youtube.com/watch?v=ITASyEUakFI'
272,ENTP,http://www.youtube.com/watch?v=hzBCI13rJmA&feature=player_embedded
273,ENTJ,http://www.youtube.com/watch?v=t6__bb1q95w&list=UUljooPShSGoS99UPDtKrxCw
274,ENTJ,http://www.youtube.com/watch?v=5OLi0CdYsCg
275,ENTJ,http://www.youtube.com/watch?v=CF9ALKou9fs
276,ENTJ,http://www.youtube.com/watch?v=5OLi0CdYsCg&feature=youtu.be
277,ENTJ,http://youtu.be/CF9ALKou9fs
278,ENTJ,http://www.youtube.com/watch?v=xBOM7ehvNz8
279,ENTJ,http://www.youtube.com/watch?v=X-SCNGsUZIM
280,ENTJ,http://www.youtube.com/watch?v=sr-2t4mQlmE
281,ENTJ,http://www.youtube.com/watch?v=_ReVQGLairI
283,INTP,http://www.youtube.com/watch?v=P-7xrav9rmo
284,INTP,http://www.youtube.com/watch?v=KwjsYWGvaJo
285,INFP,https://www.youtube.com/watch?v=yzTuBuRdAyA
286,INFP,https://www.youtube.com/watch?v=O1OTWCd40bc
290,ISTJ,http://www.youtube.com/watch?v=7x9Qw1KSyIs
291,ISTJ,http://www.youtube.com/watch?v=sRHh3Rx8c80
294,ISTJ,http://www.youtube.com/watch?v=rHG-JO8gIGk
304,ISTJ,http://www.youtube.com/watch?v=CtztrcGkCBw
312,ISTJ,http://www.youtube.com/watch?v=VB-VIq6YnD4
316,ISTJ,http://www.youtube.com/watch?v=M0l1_PvRSFY
319,INTP,https://www.youtube.com/watch?v=4WT7nBGX5eU
325,INFJ,http://www.youtube.com/watch?v=INWZy3-Vw80
326,INFJ,http://www.youtube.com/watch?v=tlXyHlszjQA
327,INFJ,http://www.youtube.com/watch?v=0FHVFV68LFQ
328,INFJ,http://www.youtube.com/watch?v=BmEhO1OiEkY
329,INTJ,https://www.youtube.com/watch?v=8IEQpfA528M
330,INTJ,https://www.youtube.com/watch?v=1ENfTe2NFAc
337,INTJ,https://www.youtube.com/watch?v=QmHXYhpEDfM
341,INFJ,http://www.youtube.com/watch?v=0gNpfrT6sak
344,INFJ,http://www.youtube.com/watch?v=HpyZEzrDf4c
348,INFJ,http://www.youtube.com/watch?v=WRdiNcz3PXA
353,INFP,http://www.youtube.com/watch?v=sIc-WFYjK5U
354,INFP,http://www.youtube.com/watch?v=XPgWMfRmumQ
355,INFP,http://www.youtube.com/watch?v=71SvPulAyZI
356,INFP,http://www.youtube.com/watch?v=DtdnZ-PAeng
357,INFP,http://www.youtube.com/watch?v=YKTlzyvZxAw
358,INFP,http://www.youtube.com/watch?v=NbJsmjpj6Jo
359,INFP,http://www.youtube.com/watch?v=qNqQC7R_Me4
360,INFP,http://www.youtube.com/watch?v=ZgOJZdlSUCA
361,INFP,http://www.youtube.com/watch?v=qQgO8mCKdHQ
364,INFP,http://www.youtube.com/watch?v=DKCccyZvtIo
365,INFP,https://www.youtube.com/watch?v=8UVNT4wvIGY
366,INFP,https://www.youtube.com/watch?v=I55a8FdzHYA
367,INFP,http://www.youtube.com/watch?v=hlP93GiUqEw
368,INFP,http://www.youtube.com/watch?v=vCDYI1o_bl8
369,INFP,http://www.youtube.com/watch?v=XKzzniTfMnQ
370,INFP,http://www.youtube.com/watch?v=2PqyMCDTaSE
371,INFP,http://www.youtube.com/watch?v=Z7wSBqOIJBo
372,INFP,http://www.youtube.com/watch?v=Aq8M_P3vmfk
373,INFP,http://www.youtube.com/watch?v=11qdAkazLBs
374,INFP,http://www.youtube.com/watch?v=7wfYIMyS_dI
376,ENFP,https://www.youtube.com/watch?v=BsfbO9oz0GI
379,ENFP,https://www.youtube.com/watch?v=5XUHlSWG92I&feature=youtu.be
384,INFJ,http://www.youtube.com/watch?v=ct2AWh-nKSk
385,INFJ,http://www.youtube.com/watch?v=l9-NOIalUYU
395,INFJ,http://www.youtube.com/watch?v=xYmCAkmn0GM
396,INFJ,http://www.youtube.com/watch?v=YZgXg_7kVI8&list=FLne0Ix9_bA4tfvLZ6uku_ZA&index=78
398,ISTJ,https://www.youtube.com/watch?v=Q8MeFeitCtc
399,ENFJ,http://www.youtube.com/watch?v=3mokC24vTPI
400,ENFJ,http://www.youtube.com/watch?v=gbXa2DvVViI
401,INTP,https://www.youtube.com/watch?v=jB0MwkX3dZ0
402,INTP,https://www.youtube.com/watch?v=SNE2oCZH_4k
403,INTP,https://www.youtube.com/watch?v=pU-DfRSFWbA
404,INTP,https://www.youtube.com/watch?v=gYU5mB9PMlE
405,INTP,https://www.youtube.com/watch?v=CYjmE-mtB6g
406,INTP,https://www.youtube.com/watch?v=jzy2dgEUOhY
410,INTP,https://www.youtube.com/watch?v=RS4PW35-Y00
411,INTP,https://www.youtube.com/watch?v=RZTCK8ZluEc
412,INFP,https://www.youtube.com/watch?v=HMGIbOGu8q0
413,INFP,https://www.youtube.com/watch?v=dSwazQ0XJXc
423,ENFP,http://www.youtube.com/watch?v=mNtBz4NDPVw
424,ENFP,http://www.youtube.com/watch?v=0fjON1YA32E
425,ENFP,http://www.youtube.com/watch?v=ryq_NaO_eXw
426,ENFP,http://www.youtube.com/watch?v=K1ZVvmlTyEQ
427,ENFP,http://www.youtube.com/watch?v=1BBM-I3shfw
428,ENFP,http://www.youtube.com/watch?v=W9kMoN7hmlE
430,INFJ,http://youtu.be/DeumyOzKqgI
431,INFJ,http://youtu.be/DeumyOzKqgI
432,INFJ,http://youtu.be/StJLvbPIvTw
433,ENFP,https://m.youtube.com/watch?v=3I4cfOd-ZgU
434,ENFP,http://youtu.be/p4Gotl9vRGs
437,ENFP,https://www.youtube.com/watch?v=LJVJmM9Fp0w
438,ENFP,https://www.youtube.com/watch?v=qiB98Wbsdlo
441,INTP,http://www.youtube.com/watch?v=UBS4Gi1y_nc
442,INFJ,https://www.youtube.com/watch?v=CoObTyYr814
447,ISTP,http://www.youtube.com/watch?v=d5WFUStHKXY
451,INTP,https://www.youtube.com/watch?v=q1ozMHdptXQ
452,INTP,https://www.youtube.com/watch?v=Jijws8YGZDk
453,INTP,https://www.youtube.com/watch?v=yfiVAitQABQ
455,INTP,https://www.youtube.com/watch?v=YT9MpMrFUCI
457,INTP,https://www.youtube.com/watch?v=5jRYB3nGxmc
459,INTP,https://www.youtube.com/watch?v=2_yatBjicJA
460,INTP,https://www.youtube.com/watch?v=WYYvHb03Eog
469,INTJ,http://www.youtube.com/watch?v=QvoKT481EmU
471,INTJ,http://www.youtube.com/watch?v=nB47SQU0a0Q&list=FL_0XCDKK5ElP5ysxPvan_uw&index=2&feature=plpp_video
477,INFJ,http://www.youtube.com/watch?v=bZIgda01k6o
481,INFJ,http://www.youtube.com/watch?v=-j379JbL-xM
483,INFJ,https://www.youtube.com/watch?v=MRn1pKWBoT8
484,INFJ,http://www.youtube.com/watch?v=RWuCmjpvXmE
485,INFJ,http://www.youtube.com/watch?v=NbpeZm8gGk0
486,INFJ,http://www.youtube.com/watch?v=wnzJBVg5uwQ
487,INFJ,http://www.youtube.com/watch?v=JEfNoEYR2-8
488,INFJ,http://www.youtube.com/watch?v=oYGWyoasHb8
489,INFJ,http://www.youtube.com/watch?v=tehrLcmRMwA
490,INFJ,http://www.youtube.com/watch?v=M2JV2RGoD9U
491,INFJ,http://www.youtube.com/watch?v=Y0ihIuCWOYY
492,INFP,http://www.youtube.com/watch?v=eBPZdCnRP4o
494,INFJ,http://youtu.be/kK9en6g9JTQ
495,INFJ,https://www.youtube.com/watch?v=Nb4fLRbvS90
496,INFJ,http://www.youtube.com/watch?v=R5FQFWYR-tE&sns=em
497,INFJ,https://www.youtube.com/watch?v=z2hLa5kDRCA
498,INFP,http://www.youtube.com/watch?v=OKeGwOKr7K8
502,INFP,http://www.youtube.com/watch?v=FHO6a2H-pqY
506,INTP,http://www.youtube.com/watch?v=8s8YK4R5qa0
507,INTP,http://www.youtube.com/watch?v=LQEgZNqa8jE
508,INTP,http://www.youtube.com/watch?v=nRnZtn1a9bM
509,INTP,http://www.youtube.com/watch?v=FCxc0Laqyqo
510,INTP,http://www.youtube.com/watch?v=IW_NLi_WFYg
511,INFP,http://www.youtube.com/watch?v=mbghqEK6dYU
512,INFP,http://www.youtube.com/watch?v=R4yKlfAFSq0
513,INFP,http://www.youtube.com/watch?v=jdr4DDeb7yU
514,INFP,http://www.youtube.com/watch?v=Gij8IwgA-vs
516,INFP,http://www.youtube.com/watch?v=m7g4rMNAg8w
517,INFP,http://www.youtube.com/watch?v=mbghqEK6dYU
520,ENFP,http://www.youtube.com/watch?v=ehMPmKHO6Vg&feature=related
523,ENFP,http://www.youtube.com/watch?v=AFY_RuQQgYU
524,ENFP,http://www.youtube.com/watch?v=-8Juilrg6oQ
527,ENFP,http://www.youtube.com/watch?v=V8rZWw9HE7o
528,ENTP,http://www.youtube.com/watch?v=3Ip1irYWXck
529,INFJ,https://www.youtube.com/watch?v=rHDkf2TUOoY
530,INFJ,https://www.youtube.com/watch?v=2HQaBWziYvY
533,INFP,https://youtu.be/JkmNuU5oG1w
537,INFP,https://www.youtube.com/watch?v=DK_0jXPuIr0
538,INFP,https://www.youtube.com/watch?v=-jpV6OnBgjI
539,INFP,https://www.youtube.com/watch?v=49tpIMDy9BE
540,INFP,http://www.youtube.com/watch?v=ymtbY3S1Jpo
541,INFP,http://www.youtube.com/watch?v=foTLUpPw1FA
542,INFP,http://www.youtube.com/watch?v=tPIHDOjHiIE
545,INTP,https://www.youtube.com/watch?v=S6tcs0_NAUI
546,INFJ,https://www.youtube.com/watch?v=cL0qDty1zmE
547,INFJ,https://www.youtube.com/watch?v=S2eUw0CUuMc
548,INFJ,https://www.youtube.com/watch?v=xY8-8KtxfkI
549,INFJ,http://www.youtube.com/watch?v=lMUhjDeEPfA
550,INFJ,http://www.youtube.com/watch?v=RYLpQFuxV5Y
553,ENFP,http://www.youtube.com/watch?v=P-AYAv0IoWI
556,ENFP,http://www.youtube.com/watch?v=WM8bTdBs-cw
557,ENFP,http://www.youtube.com/watch?v=t63HdJ_Mfts
558,ENFP,http://www.youtube.com/watch?v=t63HdJ_Mfts
562,INTP,https://www.youtube.com/watch?v=Zs3aUCM8BX8
570,ENTP,http://www.youtube.com/watch?v=Rmo0VdPpkDA
571,ENTP,http://www.youtube.com/watch?v=XSHLGnexe-w
585,ENFP,https://www.youtube.com/watch?v=POAt9jbh5Z0
586,ENFP,https://www.youtube.com/watch?v=sZvCgfC7QTY
587,ENFP,https://www.youtube.com/watch?v=wLEk4JSx3mk
588,ENFP,https://www.youtube.com/watch?v=xmm_rkAZ80c
589,ENFP,https://www.youtube.com/watch?v=7LorMo_Q_0Q
590,ENFP,http://www.youtube.com/watch?v=f1fBCzGlcXQ
591,ENFP,http://www.youtube.com/watch?v=XWxvEi48YWQ
592,ENFP,http://www.youtube.com/watch?v=rDNrzrW112c
593,ENFP,http://www.youtube.com/watch?v=0HNZzjCj6Ac
594,ENFP,http://www.youtube.com/watch?v=v-uT1iLFPEs
595,ENFP,http://www.youtube.com/watch?v=1ROGOHNSEBs
596,ENFP,http://www.youtube.com/watch?v=AQMgXPFzdg8
597,ENFP,http://www.youtube.com/watch?v=N6Ni3H6vfQM
599,ENFP,http://www.youtube.com/watch?v=rVeMiVU77wo
600,ENFP,http://www.youtube.com/watch?v=4HWcViTXdYc
601,ENFP,http://www.youtube.com/watch?v=HiTN-ss9GZA
603,ENFP,http://www.youtube.com/watch?v=wfRWA_FukXg
604,ENFP,http://www.youtube.com/watch?v=zL1F4SF8d10
605,ENFP,http://www.youtube.com/watch?v=Vuwb13LaZe4
606,ENFP,http://www.youtube.com/watch?v=XajQDNiBjEs&NR=1
607,ENFP,http://www.youtube.com/watch?v=1mBSOtdOjoc
608,ENFP,http://www.youtube.com/watch?v=R54fXxihm6I
609,ENFP,http://www.youtube.com/watch?v=rftj6E5-YF8
610,ENFP,http://www.youtube.com/watch?v=7nKzRhhMlaQ
612,INTJ,https://www.youtube.com/watch?v=0k-QHA-QAMY&amp;list=RD0k-QHA-QAMY
616,INTJ,https://www.youtube.com/watch?v=wX24lR_UzXE
620,INTP,https://www.youtube.com/watch?v=RD9xK9smth4
621,ENTP,https://www.youtube.com/watch?v=0-hy92f00EE
622,ENTP,https://www.youtube.com/watch?v=MvLpRECpK18
624,ENTP,https://www.youtube.com/watch?v=LkpRBiZMxRk
625,ENTP,https://www.youtube.com/watch?v=Iyl0zbCSN80
626,ENTP,https://www.youtube.com/watch?v=mVlRc7TnJQg
627,ENTP,https://www.youtube.com/watch?v=EZkKKZ7i9MI
628,ENTP,https://www.youtube.com/watch?v=PaUI6Tvd1sA
631,INFP,http://www.youtube.com/watch?v=3e-32DD6BoU
632,INFP,http://www.youtube.com/watch?v=LwNJZUZFt-U
636,INFP,http://www.youtube.com/watch?v=bB5QEgB3hCo
637,INFP,http://www.youtube.com/watch?v=g6bUUmelbyw
639,INFJ,http://www.youtube.com/watch?v=iwIHmHb1cSU
640,INFJ,http://www.youtube.com/watch?v=tgWVs4kslVw
641,INFJ,http://www.youtube.com/watch?v=eWUyZg4hwNY
642,INFJ,http://www.youtube.com/watch?v=FtsH8pUaJz8
643,INFJ,http://www.youtube.com/watch?v=iT9BeHj__ww
644,INFJ,http://www.youtube.com/watch?v=l7yGaLuW6aY
645,INFJ,http://www.youtube.com/watch?v=bySPwAj3d1E
646,INFJ,http://www.youtube.com/watch?v=mUFbjhjexn4
648,INFJ,https://www.youtube.com/watch?v=bIGRV9RPJiM
651,INFJ,http://youtu.be/UNCSYdGNH_Y
652,INFJ,https://www.youtube.com/watch?v=vUO6kYLb6As
653,INFJ,https://www.youtube.com/watch?v=FnF3ux6lM3M
655,INTJ,https://www.youtube.com/watch?v=RsRzjQNDMDg
664,ISFJ,https://www.youtube.com/watch?v=c514QbOF70M
665,ISFJ,https://www.youtube.com/watch?v=XWJrPzAUzAs
666,ISFJ,http://www.youtube.com/watch?v=-4kTei0XrCs
668,ISFJ,https://www.youtube.com/watch?v=qVn2YGvIv0w
669,ISFJ,https://www.youtube.com/watch?v=aOFAJ_oNfjY
671,INTP,http://youtu.be/P8i4h_y0SAc
672,ISTP,https://www.youtube.com/watch?v=OPf0YbXqDm0
674,ISTP,http://www.youtube.com/watch?v=QxVZYiJKl1Y
675,INTP,https://www.youtube.com/watch?v=5up8kJoCsJM
676,INTP,http://www.youtube.com/watch?v=fCy8pjhl97A
677,INTP,http://www.youtube.com/watch?v=kFX2LrNE3VI
678,INTP,http://www.youtube.com/watch?v=4rE3NrGj4Z8
679,INTP,http://www.youtube.com/watch?v=21ImmTL05SM
680,INTP,http://www.youtube.com/watch?v=zzKUzRJUzQ0
681,INTP,http://www.youtube.com/watch?v=YZPC0j-f2tU
682,INTP,http://www.youtube.com/watch?v=C1pkVrHKDik
683,INTP,http://www.youtube.com/watch?v=a1vjdEfxjX8
684,INTP,http://www.youtube.com/watch?v=gY3mEXAqsBQ
685,INTP,http://www.youtube.com/watch?v=HiHUKVoYbdc
686,INTP,http://www.youtube.com/watch?v=YETVpKSgV5U
687,INTP,https://youtu.be/4bHGaw-oCNo
688,INTP,https://www.youtube.com/watch?v=EEOGQj1yOPQ
689,INTP,https://www.youtube.com/watch?v=cd9ezQuQ4Fg
690,INTP,https://www.youtube.com/watch?v=tzeFi85mwIs
691,INTP,https://www.youtube.com/watch?v=i_8gc59VXTc
692,INTP,https://www.youtube.com/watch?v=5Qtgw3r662g
693,INTP,https://www.youtube.com/watch?v=sc3-o97OSeU
694,INTP,https://www.youtube.com/watch?v=NZ1T6dRvWw4
